,brand,price,CPU,Ram,ROM,display_size,OS,warranty,GPU_encoded,Processor_encoded
719,2,73990,19,16,512,13.3,0,3,51,76
720,5,67990,19,16,512,15.6,0,1,9,56
721,5,142990,8,16,1000,16.0,0,1,5,31
722,2,64990,24,16,512,14.0,0,1,51,108
723,5,84800,2,16,512,16.0,0,1,12,24
724,2,64990,19,16,512,14.0,0,1,16,76
725,1,129990,24,16,512,16.0,0,1,28,43
726,1,114990,24,8,512,16.0,0,1,28,43
727,1,80000,1,8,512,15.6,0,1,64,21
728,1,54990,1,16,512,15.6,0,1,64,63
729,26,98999,6,16,512,14.0,0,1,2,25
730,4,69990,28,8,512,14.0,5,1,1,163
731,5,76990,24,16,512,15.6,0,1,9,72
732,25,74990,1,16,512,14.0,0,2,2,63
733,25,89990,6,16,512,14.0,0,2,2,39
734,0,29999,27,8,512,15.6,11,1,8,164
735,0,97705,1,16,512,16.0,0,1,117,35
736,0,240707,8,32,1000,16.0,0,1,77,154
737,0,234990,8,16,1000,16.0,0,1,38,37
738,0,209990,8,16,1000,16.0,0,1,77,37
739,0,390914,8,32,1000,16.0,0,1,118,154
740,0,172588,8,16,1000,16.0,0,1,77,37
741,0,254657,8,16,1000,16.0,0,1,38,37
742,26,152499,6,16,1000,16.0,0,1,81,39
743,2,23990,16,4,256,11.6,0,1,43,126
744,5,119990,24,16,512,14.0,0,1,119,165
745,26,78299,19,16,512,16.0,0,1,120,76
746,26,115990,6,16,512,14.0,0,1,2,39
747,5,61990,1,16,512,15.6,0,1,44,63
748,0,26999,17,8,512,15.6,3,1,11,77
749,0,103099,22,16,512,16.1,0,1,5,5
750,10,64990,8,32,1000,15.6,0,1,3,87
751,2,47990,1,8,512,14.0,0,2,1,35
752,2,24990,16,8,256,14.0,4,1,7,166
753,2,130800,28,16,512,14.0,0,1,114,167
754,9,57990,24,16,512,15.6,0,2,13,36
755,2,38500,28,8,512,15.6,3,1,16,94
756,9,47990,19,8,512,15.6,0,2,13,46
757,2,44990,28,8,512,14.0,0,1,11,94
758,9,69990,22,16,512,15.6,0,2,9,109
761,5,65990,1,16,512,15.6,0,1,44,168
762,2,58990,19,8,512,14.0,0,1,11,76
763,0,94990,1,16,512,15.6,0,1,3,63
764,0,86490,24,16,512,15.6,0,1,16,34
765,0,77490,19,16,512,15.6,0,1,16,76
766,0,85490,19,16,512,15.6,0,1,16,76
767,2,44000,15,8,512,15.6,0,1,63,68
768,0,51990,28,16,512,14.0,0,1,16,96
769,4,37990,17,8,1000,15.6,0,1,1,2
770,0,34990,28,8,512,14.0,0,1,16,10
771,2,57799,19,16,512,14.0,0,1,11,76
772,2,65990,1,8,512,15.6,0,1,1,35
773,2,53990,1,8,512,15.6,0,1,121,35
774,2,49990,19,8,512,15.6,0,1,13,56
775,9,171990,2,16,1000,15.6,0,2,28,38
776,0,44990,18,8,512,14.0,0,1,1,62
777,0,115990,1,16,1000,15.6,0,1,65,21
778,0,50990,28,16,512,14.0,0,1,16,96
779,0,109990,1,16,512,15.6,0,1,65,21
780,1,29990,28,8,256,14.0,0,1,11,169
781,5,163999,24,16,1000,14.0,0,1,5,152
782,5,58990,19,8,1000,15.6,0,1,12,11
783,4,83990,1,16,512,14.0,0,1,2,21
784,4,43890,19,8,512,15.6,0,1,27,18
